uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
RS,São Pedro do Butiá,2229,11,15,9
RS,São Pedro do Sul,11940,350,749,11
RS,São Sebastião do Caí,19116,645,542,9
RS,São Sepé,19765,483,262,11
RS,São Valentim,2964,36,37,9
RS,São Valentim do Sul,2101,13,22,9
RS,São Valério do Sul,2099,18,21,9
RS,São Vendelino,1957,18,18,9
RS,São Vicente do Sul,7273,139,76,9
RS,Sapiranga,60570,1950,1556,15
RS,Sapucaia do Sul,104318,5834,8171,11
RS,Sarandi,17705,449,182,11
RS,Seberi,9048,135,99,9
RS,Sede Nova,2602,16,41,9
RS,Segredo,5232,44,62,9
RS,Selbach,4249,65,45,9
RS,Senador Salgado Filho,2592,12,16,9
RS,Sentinela do Sul,3803,100,50,9
RS,Serafina Corrêa,11469,266,273,9
RS,Sério,1969,9,21,9
RS,Sertão,5326,105,150,9
RS,Sertão Santana,4942,46,55,9
RS,Sete de Setembro,1712,12,14,9
RS,Severiano de Almeida,3423,30,58,9
RS,Silveira Martins,2208,22,29,9
RS,Sinimbu,7960,88,350,9
RS,Sobradinho,11472,282,182,9
RS,Soledade,23421,561,381,13
RS,Tabaí,3555,40,41,9
RS,Tapejara,16597,405,298,11
RS,Tapera,8560,190,431,9
RS,Tapes,13594,297,178,9
RS,Taquara,41470,1540,2099,15
RS,Taquari,21328,557,274,9
RS,Taquaruçu do Sul,2495,17,14,9
RS,Tavares,4375,67,60,9
RS,Tenente Portela,10689,144,137,9
RS,Terra de Areia,7208,97,121,9
RS,Teutônia,24335,637,527,11
RS,Tio Hugo,2307,61,37,9
RS,Tiradentes do Sul,4503,47,63,9
RS,Toropi,2559,25,27,9
RS,Torres,28399,1203,1302,13
RS,Tramandaí,33853,980,672,13
RS,Travesseiro,1860,13,29,9
RS,Três Arroios,2430,10,25,9
RS,Três Cachoeiras,8563,105,95,9
RS,Três Coroas,16429,749,283,9
RS,Três de Maio,20043,521,268,11
RS,Três Forquilhas,2596,20,17,9
RS,Três Palmeiras,4151,33,56,9
RS,Três Passos,19028,405,1043,11
RS,Trindade do Sul,4457,50,59,9
RS,Triunfo,20665,376,458,11
RS,Tucunduva,4589,62,83,9
RS,Tunas,3155,28,42,9
RS,Tupanci do Sul,1414,31,25,9
RS,Tupanciretã,15450,458,217,9
RS,Tupandi,3868,30,26,9
RS,Tuparendi,6981,98,67,9
RS,Turuçu,3291,39,39,9
RS,Ubiretama,1841,22,20,9
RS,União da Serra,1482,15,13,9
RS,Unistalda,2488,22,14,9
RS,Uruguaiana,90250,2776,2860,11
RS,Vacaria,46078,1742,1255,15
RS,Vale do Sol,7952,150,126,9
RS,Vale Real,4503,81,53,9
RS,Vale Verde,3030,28,28,9
RS,Vanini,1888,16,9,9
