uf,municipio,eleitores,votosBrancos,votosNulos,vagasVeriador
SP,Pariquera-Açu,15102,417,391,9
SP,Parisi,2523,23,67,9
SP,Patrocínio Paulista,10508,285,233,9
SP,Paulicéia,6094,80,83,9
SP,Paulínia,69520,1947,3024,15
SP,Paulistânia,1881,14,49,9
SP,Paulo de Faria,6677,64,433,9
SP,Pederneiras,32441,1146,1243,9
SP,Pedra Bela,5156,108,117,9
SP,Pedranópolis,2303,17,38,9
SP,Pedregulho,13916,288,603,11
SP,Pedreira,33677,1699,2781,9
SP,Pedrinhas Paulista,2966,11,31,9
SP,Pedro de Toledo,8528,111,129,9
SP,Penápolis,46199,1754,1942,13
SP,Pereira Barreto,20172,605,619,11
SP,Pereiras,7069,169,212,9
SP,Peruíbe,55115,1353,1850,15
SP,Piacatu,4620,63,254,9
SP,Piedade,41050,2237,1218,13
SP,Pilar do Sul,21344,986,725,11
SP,Pindamonhangaba,110237,6009,7940,11
SP,Pindorama,11725,403,502,9
SP,Pinhalzinho,10741,305,392,9
SP,Piquerobi,3164,26,202,9
SP,Piquete,11220,218,228,9
SP,Piracaia,21822,853,1037,11
SP,Piracicaba,283814,16468,20427,23
SP,Piraju,23421,691,937,11
SP,Pirajuí,16111,379,721,11
SP,Pirangi,8147,288,509,9
SP,Pirapora do Bom Jesus,11888,161,519,9
SP,Pirapozinho,20586,478,1020,11
SP,Pirassununga,56785,2789,2882,10
SP,Piratininga,9328,275,396,9
SP,Pitangueiras,26651,702,762,13
SP,Planalto,4272,54,80,9
SP,Platina,2958,15,71,9
SP,Poá,93537,3782,7055,17
SP,Poloni,4581,84,199,9
SP,Pompéia,16108,350,412,11
SP,Pongaí,3307,13,41,9
SP,Pontal,27828,792,886,13
SP,Pontalinda,3382,46,120,9
SP,Pontes Gestal,2535,25,20,9
SP,Populina,3847,20,76,9
SP,Porangaba,6680,155,161,9
SP,Porto Feliz,39589,1801,3686,11
SP,Porto Ferreira,40927,1565,1385,11
SP,Potim,12198,275,437,11
SP,Potirendaba,12665,338,412,9
SP,Pracinha,1546,5,16,9
SP,Pradópolis,13561,240,363,9
SP,Praia Grande,201571,8149,11493,19
SP,Pratânia,4691,85,79,9
SP,Presidente Alves,3642,30,77,9
SP,Presidente Bernardes,11626,316,283,9
SP,Presidente Epitácio,32219,932,2542,13
SP,Presidente Prudente,169293,7759,9255,13
SP,Presidente Venceslau,29527,834,1619,13
SP,Promissão,28070,767,1101,13
SP,Quadra,3206,40,50,9
SP,Quatá,10666,230,200,9
SP,Queiroz,3593,23,182,9
SP,Queluz,7910,120,167,9
SP,Quintana,5252,76,195,9
SP,Rafard,7556,328,406,9
SP,Rancharia,24673,607,900,11
SP,Redenção da Serra,4086,81,90,9
SP,Regente Feijó,15693,433,378,9
SP,Reginópolis,4640,57,165,9
SP,Registro,45132,1264,2296,13
SP,Restinga,6854,95,263,9
SP,Ribeira,3029,18,90,9
SP,Ribeirão Bonito,9091,192,306,9
SP,Ribeirão Branco,14696,315,296,11
SP,Ribeirão Corrente,4103,61,218,9
SP,Ribeirão do Sul,3994,53,67,9
SP,Ribeirão dos Índios,2097,37,203,9
SP,Ribeirão Grande,6894,189,194,9
SP,Ribeirão Pires,90034,3336,6187,17
SP,Ribeirão Preto,435369,18718,54907,27
SP,Rifaina,4727,32,71,9
SP,Rincão,8008,230,332,9
SP,Rinópolis,7758,147,169,9
SP,Rio Claro,144927,5740,10712,19
SP,Rio das Pedras,24578,713,822,9
SP,Rio Grande da Serra,34886,1314,1569,13
SP,Riolândia,7381,68,233,9
SP,Riversul,4805,83,99,9
SP,Rosana,16332,242,336,11
SP,Roseira,8543,158,164,9
SP,Rubiácea,2533,12,33,9
SP,Rubinéia,3017,34,79,9
SP,Sabino,4995,65,407,9
SP,Sagres,2156,20,30,9
SP,Sales,5060,78,79,9
SP,Sales Oliveira,8001,162,230,9
SP,Salesópolis,15062,402,776,11
SP,Salmourão,4066,45,65,9
SP,Saltinho,6247,160,190,9
SP,Salto,86030,3919,5112,17
SP,Salto de Pirapora,29772,1722,1953,9
SP,Salto Grande,7117,165,238,9
SP,Sandovalina,3810,22,359,9
SP,Santa Adélia,11946,298,422,9
